price,pv,load,lambda,t
86.210686,0.33045015,66.20282,56.023186,257.19437
-171.47754,1.3680277,-76.97163,-7.515889,-87.59491
-304.5825,-0.98872405,479.80783,13.193177,167.15259
218.77657,1.340306,70.85383,-0.7338667,60.45895
74.96772,1.5683525,118.17557,10.278869,-13.7586
-39.862293,0.84778833,-13.755499,26.799295,-115.767365
-84.9133,-0.5085955,-9.39636,-7.728751,108.189804
208.91202,-1.5580841,-334.98148,18.978163,-276.04895
-252.5007,-0.50944364,180.94905,21.5005,228.2973
-149.44371,0.8544306,129.50105,21.961323,99.65829
-13.948398,-0.111365885,185.66353,29.164967,110.08038
75.21086,2.2430615,186.37198,12.51307,-33.198853
283.6709,0.7532887,184.0391,8.308619,40.85228
269.24414,-0.5010073,163.64145,-1.4160194,127.149216
61.869984,-0.68152905,112.316734,-26.468994,123.48253
87.45613,1.5066503,-103.90259,-24.623411,-9.752162
254.31714,0.49215326,-68.75965,17.924753,257.7281
91.277016,2.9159813,-6.3227067,7.715249,-33.35044
101.73274,0.26676887,138.9864,11.270162,113.87468
-49.761116,0.8695839,73.37429,-2.2389534,-99.77715
24.734125,1.3420479,170.64587,28.486526,194.2118
-28.981758,-1.0264269,-209.72021,-9.169868,-20.825926
110.18883,-0.03668702,79.55091,11.020875,107.96577
-9.316172,0.9308191,176.04214,27.068295,7.842716
112.891525,1.0110575,27.104813,7.772415,-118.94817
122.53243,1.9037513,-133.9679,-4.047061,194.75383
126.11738,-0.38930553,411.45062,-0.83946705,94.839676
-30.463015,1.492095,6.904075,27.360867,166.16766
136.25388,0.32791385,-219.34724,25.351622,176.59537
-89.22569,-0.2626303,187.98341,11.8068285,16.464502
88.28605,-0.56912524,52.24195,10.377453,16.032322
124.66968,1.9289997,27.298538,9.577311,-278.6851
124.68227,2.540119,17.68874,0.190887,10.490419
211.80281,0.27715483,15.751438,11.494779,41.65692
78.44822,-1.2285233,166.45343,15.395929,32.96505
13.776644,-0.7800039,38.658863,4.6816826,87.34044
108.47965,0.38852254,-56.89572,13.210327,240.97078
165.59514,0.44008574,-90.57735,3.3747585,183.27232
-106.905754,1.6144141,72.47031,5.6745467,-12.159527
-62.214176,0.50691986,-23.318846,-2.7197762,43.100803
-333.97604,1.6661794,71.04077,15.904995,49.391132
59.72729,-0.09019023,2.2289636,31.355553,24.67898
-0.7865357,-0.39305443,27.839964,-19.177002,158.87888
-41.70141,-0.077606134,133.84674,21.760887,68.19766
92.03283,-0.5175304,-6.194096,20.709578,-124.32594
-169.06458,1.6156212,-129.0771,1.4588459,-172.76854
388.8313,1.1943464,76.03507,20.241978,99.33534
-193.69649,-0.10446215,-53.676605,-24.188591,54.02071
124.34538,1.0201674,-56.02196,-6.0879483,8.703747
187.172,1.5021402,102.20635,25.257368,198.0866
-78.76195,-0.42369303,-33.679966,57.99307,-58.67684
142.33298,1.1031569,112.525444,29.203518,131.1557
167.46065,0.16602704,110.21751,-2.7295294,47.329838
-247.44778,1.0252825,196.5901,-32.8893,25.31793
5.330379,1.490245,-230.62642,40.741528,82.46563
-107.31344,0.6482882,-124.14854,2.7232628,136.47441
106.03567,1.592962,130.20476,4.016711,307.16028
45.074703,0.72134,4.3697023,17.831165,252.49382
24.570595,-1.377654,98.1424,-6.228877,43.978756
160.88554,1.5834348,101.317726,-21.170776,82.773605
236.80658,0.6209458,245.74214,22.711935,57.33742
96.28839,1.5196158,258.50635,21.056114,-4.7358904
314.57947,-0.60947394,159.45163,-28.84337,21.903467
-9.122411,-0.861579,226.85912,20.201305,133.96095
61.77737,1.6413742,-22.462233,24.805258,42.17944
-100.29218,0.8739761,161.65324,14.13435,94.65072
209.23613,-0.4907384,59.11848,15.126028,63.83827
-110.83155,0.16432276,77.60536,12.505844,166.18098
-21.53846,-0.32942677,-6.5789757,-6.279882,-134.7765
-16.984573,1.1233906,81.23784,-2.543191,145.2581
179.6567,0.33642492,126.982086,16.102062,-51.01479
-76.43796,1.0313551,289.80423,-8.031866,-111.661606
25.599236,-0.7169221,40.420128,9.140728,288.0382
-92.86192,-0.61433697,-131.0068,14.165925,84.43515
-97.52404,1.6444478,277.62515,10.145622,-75.76744
62.46819,1.7284664,-291.00165,5.560172,84.79779
99.34715,2.0193582,143.76082,-2.0549324,37.827618
119.994316,2.0249557,-134.72704,9.679987,-71.893105
178.87846,0.49902898,157.38045,14.712056,45.563786
-87.90316,2.275539,390.84186,10.75678,151.05247
40.68736,-1.5273192,-56.41215,16.865105,-23.213512
-158.73402,1.5143439,69.15666,24.204697,184.23251
-182.00117,2.7933328,47.71752,25.132463,170.45341
84.247665,0.5128325,-13.4348135,52.187263,-6.3100095
-180.86757,-0.8593825,143.48012,4.527872,33.18267
-173.23236,-0.2815894,62.61463,23.467537,-30.582144
23.07259,0.07751452,179.8712,-3.9807343,12.831142
-250.71437,0.15268354,304.12424,34.831394,46.869236
181.69632,0.07557256,-27.979986,16.612928,179.24312
-45.46335,2.5331712,-68.0384,12.544786,83.840546
-85.46604,0.4798431,237.85455,14.11923,-55.773495
-72.85827,0.008165475,-126.86442,-10.268358,153.62866
-29.182194,-2.4103417,-165.06355,51.81888,-135.04118
132.59631,1.9253223,515.01044,16.948412,6.4438725
-139.9615,-0.36825895,36.44726,-1.3823667,58.07231
99.93994,1.4067875,-2.7462192,-9.758569,144.2705
103.2882,0.08011004,180.59717,-15.077891,184.7245
289.4805,2.8856354,-112.283394,54.765503,-205.18636
25.147093,-1.8818479,50.82294,13.724949,232.35706
-164.15378,0.08359704,148.94055,28.723202,151.09271
183.30498,1.1349422,207.46793,-5.0227456,-171.9271
149.3661,-1.1347742,206.90814,17.227264,-107.61212
-65.68991,-0.38980815,119.27038,9.623539,-59.502655
-73.25062,1.0262152,-53.01292,13.541125,122.501686
-295.30356,0.25757933,-114.09225,-16.672794,236.7767
67.26995,-0.46617496,-82.66062,20.971256,-9.321307
-119.81938,1.5574884,-35.43013,-28.075382,-41.536747
34.495083,2.1608622,105.639984,3.2839005,-216.03842
-15.405878,0.16242829,270.1359,-12.943421,-178.41519
133.94421,2.634966,198.1108,24.445604,175.60568
322.87012,1.0566171,52.218678,31.722294,-54.00439
113.983475,-0.20224991,150.79387,9.476392,-26.758688
-120.00728,0.049754474,271.8808,-4.9300933,188.62979
-129.88261,-0.71565294,153.69312,-1.8610265,193.53925
235.2248,1.1301744,20.79552,12.77556,80.74862
-69.45949,0.3804756,253.28065,4.1355405,97.09732
156.9553,0.66480726,26.147408,-11.874413,196.22198
179.45827,0.24419,-173.60402,8.273324,99.6324
115.37233,0.9038888,235.43588,16.209051,-21.208673
-82.40123,1.2345364,61.710445,-10.969641,10.9330845
320.8791,-0.9481164,11.070676,9.51626,-167.70085
136.01906,0.41727552,79.730064,-6.893502,111.916725
-93.89875,-0.43488285,114.72504,-8.730217,-43.58015
110.426765,2.2716765,40.067543,-32.94926,-106.093376
126.4924,1.6696042,171.30919,-10.160551,-53.872
-227.33383,0.047740515,-23.146576,42.738148,-63.859474
243.82033,2.0311992,331.3804,-2.6442933,58.370235
223.50816,0.11755007,49.239853,-8.451494,-196.3794
202.09221,0.3707972,344.39246,0.1310277,-138.83357
-258.09225,3.6149123,-40.758827,12.489783,154.17152
-148.36533,0.13156018,117.104126,18.279266,50.484074
-3.2752054,0.48107055,-185.1298,16.897818,-15.707136
-4.8987885,-0.17940041,-22.588972,25.85649,-32.764446
162.7649,-0.63610303,15.294852,9.389771,59.375725
-56.65495,0.6681587,256.31403,-29.305904,42.07765
62.071064,1.6227369,138.09619,16.672335,206.24382
291.60654,-0.067086466,205.3314,2.585184,84.898186
106.11791,1.1264235,95.5024,5.538265,-14.078047
49.33045,0.84706086,64.47788,9.992303,-73.7254
-40.7943,0.56154037,-69.65902,20.73633,18.521448
3.0027642,-0.31289002,-37.02567,11.289643,-158.30614
272.76636,0.48083302,144.80177,-2.0238786,151.59926
70.19821,0.8762786,339.86288,22.040806,-8.815985
126.01974,0.5790056,79.457726,2.326024,27.867434
65.78539,-2.4366584,-5.326514,11.3327465,234.47374
197.1406,0.4949794,123.54859,9.661484,94.167816
-220.07465,-0.3304104,-328.49734,-0.50037146,-138.74649
274.4661,0.20855205,-205.88818,13.73788,-55.285168
146.16472,0.623428,-63.330544,-34.290455,-172.2294
-127.89461,0.5977097,104.57275,-16.646175,-131.83066
-29.981535,3.7357054,178.53084,22.457535,28.578777
-90.86709,2.6303988,52.63101,-9.434615,-14.268814
26.09828,0.07513874,-15.325046,1.9844359,6.104154
194.86487,-0.8195901,59.314087,-7.9149523,-27.181604
192.53374,0.31414065,92.54591,18.802715,-41.273098
271.1206,-0.010336893,313.51788,14.217071,168.85677
317.17365,0.39117178,94.658745,39.259377,-48.416183
-64.0897,0.654894,-44.56114,-17.87365,266.05765
173.50908,0.02119627,-32.62532,28.096981,32.76347
-128.07643,1.4773673,-53.229946,17.337746,43.452785
-42.999577,0.6144007,146.62634,7.035408,124.36739
272.63895,-0.02136596,-10.013954,9.057552,-117.295334
241.84152,-1.3531849,313.66183,42.597126,-77.36025
139.60054,0.66361713,-62.62082,34.069927,50.287365
102.31723,1.8925877,232.28073,9.048805,28.92949
217.90611,1.3921487,123.10944,9.049254,-70.16271
329.57803,1.6526647,91.9251,-9.650055,203.17438
138.6542,1.4942318,142.9731,13.923383,-8.035248
125.5789,2.0160358,152.83624,27.837366,51.139584
-280.4677,-0.16623412,94.65033,21.060461,63.762463
-46.972836,-0.28545555,128.87868,-40.199715,25.178396
-183.64006,1.3256179,11.792996,6.5857143,53.815594
257.9142,0.61784256,-230.87325,-1.3790095,81.39337
174.60118,-1.5134188,-9.740952,44.12159,176.10847
-39.432648,0.38036463,71.849434,27.217876,125.297455
-249.71547,-0.36293596,144.65489,8.175829,99.52027
-115.696106,1.9267129,-18.262217,8.73694,37.802635
-130.9596,0.66870075,-18.410946,31.98365,-154.02087
-32.51022,2.358188,-132.42996,-15.514385,225.85965
-336.93265,1.2171915,-42.37315,37.903957,-152.97227
317.0088,0.34453624,-228.9355,12.490362,-74.088234
71.45318,-0.8368036,93.17696,6.839802,-35.074142
251.21907,-1.1015382,-24.550407,4.323998,234.43863
189.68964,0.21092188,-160.45636,22.338642,-117.98515
88.343864,0.012182994,230.45287,22.878109,114.89398
-4.4811015,0.66831213,143.96895,-5.7204313,178.88165
-65.140144,1.3668928,-67.521164,-2.4028757,165.95955
-10.53389,-1.1660743,38.032913,30.414808,196.2582
7.258008,2.4378085,58.490902,17.811474,-203.58401
277.14734,-0.19762017,225.39172,25.785341,-89.63174
-125.21243,1.5112728,-152.51738,13.7767105,238.11574
-79.131424,1.8897012,236.3721,-12.308413,7.221433
286.89423,-2.322906,177.25566,47.95143,-22.113577
312.31143,2.9296231,10.754824,2.2192435,114.78534
303.71643,0.8159584,5.8772526,-9.894928,-17.086721
419.9202,1.0316923,-85.22673,6.1067195,-104.90136
169.22711,0.81197476,-21.5679,-22.796144,53.130997
198.13045,0.2367692,69.03319,-24.166677,177.86827
346.49973,0.045742013,151.3275,7.880431,56.518745
83.70519,-0.0984926,-215.81097,37.602917,124.8885
-34.98696,0.21149491,256.71548,20.822338,23.531645
23.842718,0.887233,193.17046,-9.5559435,93.369934
49.54791,-0.026105369,50.47022,-18.896832,-72.2864
-120.55292,-2.3947322,-75.66211,8.989951,211.96869
143.14005,1.764219,227.73463,-20.386223,236.39847
224.91008,1.2660949,43.672356,12.865941,67.45678
-133.45067,-0.32059762,-22.555695,30.650793,-100.679375
399.66846,-0.6266497,86.26492,21.453999,206.14636
106.23712,-0.027994482,-38.07231,0.44881582,-218.55144
-131.97203,1.5711721,77.79756,-20.102589,-61.28193
-265.5768,0.037052732,338.90613,-12.129818,-6.478388
81.22396,0.421469,-365.99225,-10.327061,84.980774
346.0873,-0.8242834,29.321474,11.95076,-115.76558
19.883741,-0.04373393,-157.12183,-5.5484624,-71.83063
95.10303,-0.7203848,-147.64685,10.955917,29.912554
