fold,day_id,split
1,17,train
1,18,train
1,19,train
1,20,train
1,21,train
1,22,train
1,23,train
1,24,train
1,25,train
1,26,train
1,27,train
1,28,train
1,29,train
1,30,train
1,31,train
1,32,train
1,33,train
1,34,train
1,35,train
1,36,train
1,37,train
1,38,train
1,39,train
1,40,train
1,41,train
1,42,train
1,43,train
1,44,train
1,45,train
1,46,train
1,47,train
1,48,train
1,49,train
1,0,val
1,1,val
1,2,val
1,3,val
1,4,val
1,5,val
1,6,val
1,7,val
1,8,val
1,9,val
1,10,val
1,11,val
1,12,val
1,13,val
1,14,val
1,15,val
1,16,val
2,0,train
2,1,train
2,2,train
2,3,train
2,4,train
2,5,train
2,6,train
2,7,train
2,8,train
2,9,train
2,10,train
2,11,train
2,12,train
2,13,train
2,14,train
2,15,train
2,16,train
2,34,train
2,35,train
2,36,train
2,37,train
2,38,train
2,39,train
2,40,train
2,41,train
2,42,train
2,43,train
2,44,train
2,45,train
2,46,train
2,47,train
2,48,train
2,49,train
2,17,val
2,18,val
2,19,val
2,20,val
2,21,val
2,22,val
2,23,val
2,24,val
2,25,val
2,26,val
2,27,val
2,28,val
2,29,val
2,30,val
2,31,val
2,32,val
2,33,val
3,0,train
3,1,train
3,2,train
3,3,train
3,4,train
3,5,train
3,6,train
3,7,train
3,8,train
3,9,train
3,10,train
3,11,train
3,12,train
3,13,train
3,14,train
3,15,train
3,16,train
3,17,train
3,18,train
3,19,train
3,20,train
3,21,train
3,22,train
3,23,train
3,24,train
3,25,train
3,26,train
3,27,train
3,28,train
3,29,train
3,30,train
3,31,train
3,32,train
3,33,train
3,34,val
3,35,val
3,36,val
3,37,val
3,38,val
3,39,val
3,40,val
3,41,val
3,42,val
3,43,val
3,44,val
3,45,val
3,46,val
3,47,val
3,48,val
3,49,val
