day_id,split,fold
0,train,2
1,train,2
2,train,2
3,train,2
4,train,2
5,train,2
6,train,2
7,train,2
8,train,2
9,train,2
10,train,2
11,train,2
12,train,2
13,train,2
14,train,2
15,train,2
16,train,2
34,train,2
35,train,2
36,train,2
37,train,2
38,train,2
39,train,2
40,train,2
41,train,2
42,train,2
43,train,2
44,train,2
45,train,2
46,train,2
47,train,2
48,train,2
49,train,2
17,val,2
18,val,2
19,val,2
20,val,2
21,val,2
22,val,2
23,val,2
24,val,2
25,val,2
26,val,2
27,val,2
28,val,2
29,val,2
30,val,2
31,val,2
32,val,2
33,val,2
