day_id,split,fold
0,train,2
1,train,2
2,train,2
3,train,2
4,train,2
5,train,2
6,train,2
7,train,2
8,train,2
9,train,2
10,train,2
11,train,2
12,train,2
13,train,2
14,train,2
15,train,2
16,train,2
17,train,2
18,train,2
19,train,2
20,train,2
21,train,2
22,train,2
23,train,2
24,train,2
25,val,2
26,val,2
27,val,2
28,val,2
29,val,2
30,val,2
31,val,2
32,val,2
33,val,2
34,val,2
35,val,2
36,val,2
37,val,2
38,val,2
39,val,2
40,val,2
41,val,2
42,val,2
43,val,2
44,val,2
45,val,2
46,val,2
47,val,2
48,val,2
49,val,2
